run_index,stage,destination_layer,source_layer,source_offset,alpha,beta_mode,ramp_tokens,normalization_mode,mean_nll,perplexity,perplexity_reduction_percent,elapsed_seconds
1,coarse,2,6,4,0.05,convex,,norm_matched,2.629400170327165,13.865450498630507,0.35733068800611073,71.27439191400026
2,coarse,2,6,4,0.1,convex,,norm_matched,2.626569613100613,13.826259040521691,0.6389761708252429,70.63359587900004
3,coarse,2,6,4,0.16,convex,,norm_matched,2.6249962992682137,13.804523099135137,0.7951793334977585,70.3981011840001
4,coarse,2,8,6,0.05,convex,,norm_matched,2.6319872189243982,13.901367532416742,0.09921652715839305,70.43865637299996
5,coarse,2,8,6,0.1,convex,,norm_matched,2.6320555220601145,13.902317071837842,0.09239275734689473,70.55750300999989
6,coarse,2,8,6,0.16,convex,,norm_matched,2.634291397744493,13.933435700263736,-0.13123814465592187,70.50495724499979
7,coarse,2,10,8,0.05,convex,,norm_matched,2.630843204370575,13.885473259015157,0.21343912877274404,70.59091675799982
8,coarse,2,10,8,0.1,convex,,norm_matched,2.630647877094683,13.882761312216209,0.23292826243673947,70.40077033399984
9,coarse,2,10,8,0.16,convex,,norm_matched,2.632669664780998,13.9108577009851,0.031016382600141622,70.57112503500002
10,coarse,2,12,10,0.05,convex,,norm_matched,2.6318713268110363,13.899756566905692,0.11079356922467486,70.65517554400003
11,coarse,2,12,10,0.1,convex,,norm_matched,2.632884190345906,13.913842255711954,0.00956817940466181,70.55495823599995
12,coarse,2,12,10,0.16,convex,,norm_matched,2.636016389375092,13.957491502295735,-0.30411275317628644,70.44820434400026
13,coarse,2,14,12,0.05,convex,,norm_matched,2.6318975091563175,13.90012049989574,0.10817820129395672,70.53620082999987
14,coarse,2,14,12,0.1,convex,,norm_matched,2.6324976369199633,13.90846485171391,0.048212353886185944,70.43741037399968
15,coarse,2,14,12,0.16,convex,,norm_matched,2.636919871453316,13.97010754405065,-0.39477667186652404,70.60500078900031
16,coarse,4,8,4,0.05,convex,,norm_matched,2.6337984810826365,13.926569370053475,-0.08189395128870267,67.21846946899996
17,coarse,4,8,4,0.1,convex,,norm_matched,2.634763883006188,13.940020598788134,-0.17855985744011504,67.17898648600021
18,coarse,4,8,4,0.16,convex,,norm_matched,2.638317112349345,13.989640792782236,-0.5351504047028676,67.3136054229999
19,coarse,4,10,6,0.05,convex,,norm_matched,2.630945204523185,13.88688965164154,0.20326036522657304,67.23560315999976
20,coarse,4,10,6,0.1,convex,,norm_matched,2.629583333536094,13.867990371635624,0.33907814540258047,67.35144529499985
21,coarse,4,10,6,0.16,convex,,norm_matched,2.630183745106411,13.87631937367618,0.27922260763206136,67.15423433299975
22,coarse,4,12,8,0.05,convex,,norm_matched,2.6318156388265064,13.89898253902925,0.11635604292419328,67.31673319499987
23,coarse,4,12,8,0.1,convex,,norm_matched,2.6313560298577547,13.892595909786257,0.16225291340385778,67.28059367100013
24,coarse,4,12,8,0.16,convex,,norm_matched,2.6336757983513475,13.924860925286149,-0.06961638432430615,67.69819182699985
25,coarse,4,14,10,0.05,convex,,norm_matched,2.631046289048237,13.888293472237498,0.19317194931609483,67.99875127699988
26,coarse,4,14,10,0.1,convex,,norm_matched,2.630143906305729,13.87576656876607,0.28319528467257055,67.76799566999989
27,coarse,4,14,10,0.16,convex,,norm_matched,2.630984703408425,13.887438179135271,0.1993184274098579,67.6690231529999
28,coarse,4,16,12,0.05,convex,,norm_matched,2.627911713349388,13.84482772394972,0.5055341897975844,67.47121575200026
29,coarse,4,16,12,0.1,convex,,norm_matched,2.6236152680388645,13.785471779890342,0.9320897284145231,67.93979780699965
30,coarse,4,16,12,0.16,convex,,norm_matched,2.621504254122051,13.75640115215882,1.14100287884049,67.92074905200025
31,coarse,6,10,4,0.05,convex,,norm_matched,2.6343288473486317,13.933957511685756,-0.13498809010289592,64.68440847600004
32,coarse,6,10,4,0.1,convex,,norm_matched,2.6357673876213306,13.954016495092953,-0.2791399624546413,64.42170012499992
33,coarse,6,10,4,0.16,convex,,norm_matched,2.6380804628570758,13.986330543091496,-0.511361627316434,64.49824216900015
34,coarse,6,12,6,0.05,convex,,norm_matched,2.634323147326737,13.933878088049214,-0.13441732010502855,64.58534959100007
35,coarse,6,12,6,0.1,convex,,norm_matched,2.6363240898762514,13.961786890238542,-0.3349811278024247,64.53431388299987
36,coarse,6,12,6,0.16,convex,,norm_matched,2.6388999442201206,13.99779677785011,-0.5937625733527122,64.52546160200018
37,coarse,6,14,8,0.05,convex,,norm_matched,2.6334213718757367,13.921318522657176,-0.044159263132060846,64.56031903100029
