
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights:  50%|████▉     | 144/290 [00:00<00:00, 1439.10it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 1717.18it/s]
dense_full_trainable_parameters=494032768
step=1/4000 loss=2.870015 grad_norm=230.494705
step=25/4000 loss=2.337226 grad_norm=201.810196
step=50/4000 loss=2.106420 grad_norm=112.819817
step=75/4000 loss=1.875571 grad_norm=112.553818
step=100/4000 loss=1.911818 grad_norm=117.529236
step=125/4000 loss=2.901593 grad_norm=162.496902
step=150/4000 loss=1.331201 grad_norm=91.625679
step=175/4000 loss=1.754008 grad_norm=96.858665
step=200/4000 loss=2.058037 grad_norm=102.167847
step=225/4000 loss=2.079468 grad_norm=121.349892
step=250/4000 loss=1.672454 grad_norm=94.307076
step=275/4000 loss=1.457651 grad_norm=70.253731
step=300/4000 loss=1.763618 grad_norm=119.793312
step=325/4000 loss=1.066238 grad_norm=68.906906
step=350/4000 loss=1.560035 grad_norm=211.770477
step=375/4000 loss=2.424521 grad_norm=109.084770
step=400/4000 loss=2.012132 grad_norm=130.218185
step=425/4000 loss=1.949396 grad_norm=81.401711
step=450/4000 loss=1.649536 grad_norm=113.617691
step=475/4000 loss=1.386846 grad_norm=101.140770
step=500/4000 loss=2.119387 grad_norm=133.023956
step=525/4000 loss=1.567312 grad_norm=91.630379
step=550/4000 loss=1.668020 grad_norm=130.865723
step=575/4000 loss=1.510296 grad_norm=104.837624
step=600/4000 loss=1.500740 grad_norm=132.895050
step=625/4000 loss=1.520529 grad_norm=114.957802
step=650/4000 loss=1.517759 grad_norm=118.261436
step=675/4000 loss=2.050520 grad_norm=100.811790
step=700/4000 loss=1.506042 grad_norm=91.973618
step=725/4000 loss=1.862389 grad_norm=112.660378
step=750/4000 loss=1.624053 grad_norm=177.122757
step=775/4000 loss=1.389231 grad_norm=96.992249
step=800/4000 loss=1.176645 grad_norm=164.083298
step=825/4000 loss=0.859432 grad_norm=97.510452
step=850/4000 loss=0.842886 grad_norm=96.180809
step=875/4000 loss=1.054423 grad_norm=99.654640
step=900/4000 loss=1.138508 grad_norm=96.540657
step=925/4000 loss=0.792296 grad_norm=96.708855
step=950/4000 loss=0.760914 grad_norm=87.262108
step=975/4000 loss=1.594379 grad_norm=115.344093
step=1000/4000 loss=1.727505 grad_norm=181.527695
step=1025/4000 loss=1.102779 grad_norm=79.409691
step=1050/4000 loss=0.373968 grad_norm=77.599205
step=1075/4000 loss=0.594979 grad_norm=102.761406
step=1100/4000 loss=1.754798 grad_norm=352.755157
step=1125/4000 loss=0.494631 grad_norm=107.154808
step=1150/4000 loss=0.945381 grad_norm=122.148834
step=1175/4000 loss=0.518132 grad_norm=72.854729
step=1200/4000 loss=0.723875 grad_norm=98.530807
step=1225/4000 loss=0.663312 grad_norm=152.035583
step=1250/4000 loss=0.601664 grad_norm=92.724823
step=1275/4000 loss=0.990285 grad_norm=119.369019
step=1300/4000 loss=1.098674 grad_norm=154.294769
step=1325/4000 loss=0.717379 grad_norm=159.957642
step=1350/4000 loss=0.678133 grad_norm=159.824982
step=1375/4000 loss=0.665993 grad_norm=192.332672
step=1400/4000 loss=1.360243 grad_norm=272.906403
step=1425/4000 loss=0.731049 grad_norm=108.227554
step=1450/4000 loss=1.097231 grad_norm=149.738663
step=1475/4000 loss=0.984057 grad_norm=126.102272
step=1500/4000 loss=0.919594 grad_norm=140.057281
step=1525/4000 loss=0.820377 grad_norm=182.663773
step=1550/4000 loss=0.225688 grad_norm=64.734299
step=1575/4000 loss=0.162412 grad_norm=117.730927
step=1600/4000 loss=0.842531 grad_norm=155.748550
step=1625/4000 loss=1.079132 grad_norm=377.863586
step=1650/4000 loss=0.371712 grad_norm=192.150894
step=1675/4000 loss=0.183958 grad_norm=222.754532
step=1700/4000 loss=0.384210 grad_norm=98.772072
step=1725/4000 loss=1.533588 grad_norm=299.121429
step=1750/4000 loss=0.065032 grad_norm=42.646854
step=1775/4000 loss=2.288866 grad_norm=416.664520
step=1800/4000 loss=0.035757 grad_norm=30.996563
step=1825/4000 loss=0.162299 grad_norm=370.971771
step=1850/4000 loss=0.240141 grad_norm=921.657776
step=1875/4000 loss=0.047796 grad_norm=113.878883
step=1900/4000 loss=0.132886 grad_norm=186.914856
step=1925/4000 loss=0.177317 grad_norm=297.918182
step=1950/4000 loss=0.442622 grad_norm=217.739807
step=1975/4000 loss=0.006170 grad_norm=13.572298
step=2000/4000 loss=0.024372 grad_norm=42.312389

Writing model shards:   0%|          | 0/1 [00:00<?, ?it/s]
Writing model shards: 100%|██████████| 1/1 [00:05<00:00,  5.40s/it]
Writing model shards: 100%|██████████| 1/1 [00:05<00:00,  5.40s/it]
checkpoint_drive_backup=/content/drive/MyDrive/recurrent-qwen-svgd-checkpoints/stage5_phase_a_dense_full_bc_20260713/B/dense_full_step_2000
saved_checkpoint=outputs/stage5/stage5_phase_a_dense_full_bc_20260713/train/B/dense_full_step_2000
step=2025/4000 loss=1.278209 grad_norm=1037.430054
step=2050/4000 loss=0.162085 grad_norm=190.385117
step=2075/4000 loss=0.014922 grad_norm=18.236599
step=2100/4000 loss=0.004172 grad_norm=5.977734
step=2125/4000 loss=0.012159 grad_norm=18.957205
step=2150/4000 loss=0.012581 grad_norm=30.094593
step=2175/4000 loss=0.060001 grad_norm=234.941132
step=2200/4000 loss=0.005760 grad_norm=16.687975
step=2225/4000 loss=0.159138 grad_norm=308.575470
step=2250/4000 loss=1.084838 grad_norm=460.739929
step=2275/4000 loss=0.076054 grad_norm=228.405563
step=2300/4000 loss=0.063137 grad_norm=165.445190
step=2325/4000 loss=0.105286 grad_norm=303.177185
step=2350/4000 loss=0.505971 grad_norm=446.470612
