
Loading weights:   0%|          | 0/338 [00:00<?, ?it/s]
Loading weights:  18%|█▊        | 61/338 [00:00<00:00, 596.85it/s]
Loading weights: 100%|██████████| 338/338 [00:00<00:00, 1771.49it/s]
dense_full_trainable_parameters=1543714304
step=1/4000 loss=2.282913 grad_norm=87.915192
step=25/4000 loss=1.899139 grad_norm=66.330910
step=50/4000 loss=2.072170 grad_norm=69.365753
step=75/4000 loss=2.098104 grad_norm=100.998703
step=100/4000 loss=1.482463 grad_norm=46.884853
step=125/4000 loss=2.366379 grad_norm=141.874786
step=150/4000 loss=1.061277 grad_norm=54.363659
step=175/4000 loss=1.362596 grad_norm=65.829384
step=200/4000 loss=1.383366 grad_norm=62.229233
step=225/4000 loss=1.984477 grad_norm=86.647560
step=250/4000 loss=1.186536 grad_norm=55.301807
step=275/4000 loss=1.216406 grad_norm=107.884132
step=300/4000 loss=1.409533 grad_norm=63.083065
step=325/4000 loss=0.956809 grad_norm=53.376400
step=350/4000 loss=1.245352 grad_norm=68.522881
step=375/4000 loss=2.385512 grad_norm=90.161156
step=400/4000 loss=1.323240 grad_norm=83.363472
step=425/4000 loss=1.432376 grad_norm=78.097504
step=450/4000 loss=1.104709 grad_norm=55.663681
step=475/4000 loss=0.731686 grad_norm=64.057625
step=500/4000 loss=1.461291 grad_norm=94.469841
step=525/4000 loss=1.027136 grad_norm=61.308937
step=550/4000 loss=1.372350 grad_norm=153.856506
step=575/4000 loss=0.897735 grad_norm=55.610023
step=600/4000 loss=1.627426 grad_norm=389.899353
step=625/4000 loss=0.575935 grad_norm=51.149178
step=650/4000 loss=0.875617 grad_norm=54.015720
step=675/4000 loss=1.230695 grad_norm=56.847149
step=700/4000 loss=1.007892 grad_norm=102.138710
step=725/4000 loss=1.445513 grad_norm=82.201134
step=750/4000 loss=0.718724 grad_norm=59.176380
step=775/4000 loss=0.668494 grad_norm=52.869743
step=800/4000 loss=0.463758 grad_norm=77.308594
step=825/4000 loss=1.598777 grad_norm=437.136047
step=850/4000 loss=0.430034 grad_norm=48.563747
step=875/4000 loss=0.644583 grad_norm=146.861847
step=900/4000 loss=1.689137 grad_norm=169.632217
step=925/4000 loss=0.561485 grad_norm=104.062164
step=950/4000 loss=0.866179 grad_norm=73.675087
step=975/4000 loss=0.556893 grad_norm=52.419693
