wrote_json=outputs/stage5/stage5_surface_alignment_repair_content_cyclic_20260624_005040_benchmark/arc_easy_surface_mismatch_diagnosis.json
wrote_md=outputs/stage5/stage5_surface_alignment_repair_content_cyclic_20260624_005040_benchmark/arc_easy_surface_mismatch_diagnosis.md
{
  "benchmark": "arc_easy_stage5_surface_alignment_repair_content_cyclic_20260624_005040_benchmark",
  "paired_examples": 256,
  "base_content_correct": 148,
  "candidate_content_correct": 138,
  "candidate_cyclic_correct": 205,
  "content_delta": -10,
  "cyclic_vs_candidate_content_delta": 67,
  "content_losses": 15,
  "content_wins": 5,
  "content_losses_rescued_by_cyclic": 13,
  "content_losses_stably_rescued_by_cyclic": 8,
  "content_losses_unrescued_by_cyclic": 2,
  "content_losses_order_sensitive": 5,
  "content_losses_with_content_cyclic_disagreement": 14,
  "content_cyclic_disagreement_rows": 120,
  "content_losses_rescued_by_cyclic_fraction": 0.8666666666666667,
  "content_losses_stably_rescued_by_cyclic_fraction": 0.5333333333333333,
  "content_losses_unrescued_by_cyclic_fraction": 0.13333333333333333,
  "content_losses_order_sensitive_fraction": 0.3333333333333333,
  "content_losses_with_content_cyclic_disagreement_fraction": 0.9333333333333333,
  "candidate_content_prediction_counts": {
    "A": 81,
    "B": 58,
    "C": 53,
    "D": 64
  },
  "candidate_cyclic_prediction_counts": {
    "A": 68,
    "B": 75,
    "C": 49,
    "D": 64
  },
  "content_loss_answer_rank_histogram": {
    "2": 13,
    "3": 2
  },
  "stable_rescue_answer_rank_histogram": {
    "2": 7,
    "3": 1
  },
  "recommendation": "prioritize_content_cyclic_surface_alignment",
  "stable_rescue_examples": [
    {
      "id": "ACTAAP_2014_7_6",
      "answer": "D",
      "base_content_prediction": "D",
      "candidate_content_prediction": "B",
      "candidate_cyclic_prediction": "D",
      "base_cyclic_prediction": "D",
      "base_content_hit": true,
      "candidate_content_hit": false,
      "candidate_cyclic_hit": true,
      "base_cyclic_hit": true,
      "content_loss": true,
      "content_win": false,
      "cyclic_rescues_content_loss": true,
      "candidate_order_sensitive": false,
      "content_cyclic_disagree": true,
      "stable_cyclic_rescue": true,
      "candidate_content_answer_rank": 2,
      "candidate_cyclic_answer_rank": 1,
      "base_content_answer_rank": 1,
      "base_cyclic_answer_rank": 1,
      "candidate_content_answer_margin": -0.14261364936828613,
      "candidate_cyclic_answer_margin": 0.0,
      "candidate_permutation_prediction_counts": {
        "D": 4
      }
    },
    {
      "id": "MDSA_2011_4_8",
      "answer": "A",
      "base_content_prediction": "A",
      "candidate_content_prediction": "C",
      "candidate_cyclic_prediction": "A",
      "base_cyclic_prediction": "A",
      "base_content_hit": true,
      "candidate_content_hit": false,
      "candidate_cyclic_hit": true,
      "base_cyclic_hit": true,
      "content_loss": true,
      "content_win": false,
      "cyclic_rescues_content_loss": true,
      "candidate_order_sensitive": false,
      "content_cyclic_disagree": true,
      "stable_cyclic_rescue": true,
      "candidate_content_answer_rank": 2,
      "candidate_cyclic_answer_rank": 1,
      "base_content_answer_rank": 1,
      "base_cyclic_answer_rank": 1,
      "candidate_content_answer_margin": -0.04808497428894043,
      "candidate_cyclic_answer_margin": 0.0,
      "candidate_permutation_prediction_counts": {
        "A": 4
      }
    },
    {
      "id": "Mercury_183190",
      "answer": "C",
      "base_content_prediction": "C",
      "candidate_content_prediction": "B",
      "candidate_cyclic_prediction": "C",
      "base_cyclic_prediction": "C",
      "base_content_hit": true,
      "candidate_content_hit": false,
      "candidate_cyclic_hit": true,
      "base_cyclic_hit": true,
      "content_loss": true,
      "content_win": false,
      "cyclic_rescues_content_loss": true,
      "candidate_order_sensitive": false,
      "content_cyclic_disagree": true,
      "stable_cyclic_rescue": true,
      "candidate_content_answer_rank": 3,
      "candidate_cyclic_answer_rank": 1,
      "base_content_answer_rank": 1,
      "base_cyclic_answer_rank": 1,
      "candidate_content_answer_margin": -0.5905270576477051,
      "candidate_cyclic_answer_margin": 0.0,
      "candidate_permutation_prediction_counts": {
        "C": 4
      }
    },
    {
      "id": "Mercury_7010815",
      "answer": "B",
      "base_content_prediction": "B",
      "candidate_content_prediction": "D",
      "candidate_cyclic_prediction": "B",
      "base_cyclic_prediction": "B",
      "base_content_hit": true,
      "candidate_content_hit": false,
      "candidate_cyclic_hit": true,
      "base_cyclic_hit": true,
      "content_loss": true,
      "content_win": false,
      "cyclic_rescues_content_loss": true,
      "candidate_order_sensitive": false,
      "content_cyclic_disagree": true,
      "stable_cyclic_rescue": true,
      "candidate_content_answer_rank": 2,
      "candidate_cyclic_answer_rank": 1,
      "base_content_answer_rank": 1,
      "base_cyclic_answer_rank": 1,
      "candidate_content_answer_margin": -0.07386517524719238,
      "candidate_cyclic_answer_margin": 0.0,
      "candidate_permutation_prediction_counts": {
        "B": 4
      }
    },
    {
      "id": "Mercury_7017080",
      "answer": "A",
      "base_content_prediction": "A",
      "candidate_content_prediction": "B",
      "candidate_cyclic_prediction": "A",
      "base_cyclic_prediction": "A",
      "base_content_hit": true,
      "candidate_content_hit": false,
      "candidate_cyclic_hit": true,
      "base_cyclic_hit": true,
      "content_loss": true,
      "content_win": false,
      "cyclic_rescues_content_loss": true,
      "candidate_order_sensitive": false,
      "content_cyclic_disagree": true,
      "stable_cyclic_rescue": true,
      "candidate_content_answer_rank": 2,
      "candidate_cyclic_answer_rank": 1,
      "base_content_answer_rank": 1,
      "base_cyclic_answer_rank": 1,
      "candidate_content_answer_margin": -0.02931070327758789,
      "candidate_cyclic_answer_margin": 0.0,
      "candidate_permutation_prediction_counts": {
        "A": 4
      }
    },
    {
      "id": "Mercury_7194425",
      "answer": "B",
      "base_content_prediction": "B",
      "candidate_content_prediction": "D",
      "candidate_cyclic_prediction": "B",
      "base_cyclic_prediction": "B",
      "base_content_hit": true,
      "candidate_content_hit": false,
      "candidate_cyclic_hit": true,
      "base_cyclic_hit": true,
      "content_loss": true,
      "content_win": false,
      "cyclic_rescues_content_loss": true,
      "candidate_order_sensitive": false,
      "content_cyclic_disagree": true,
      "stable_cyclic_rescue": true,
      "candidate_content_answer_rank": 2,
      "candidate_cyclic_answer_rank": 1,
      "base_content_answer_rank": 1,
      "base_cyclic_answer_rank": 1,
      "candidate_content_answer_margin": -0.4369931221008301,
      "candidate_cyclic_answer_margin": 0.0,
      "candidate_permutation_prediction_counts": {
        "B": 4
      }
    },
    {
      "id": "Mercury_7212520",
      "answer": "B",
      "base_content_prediction": "B",
      "candidate_content_prediction": "D",
      "candidate_cyclic_prediction": "B",
      "base_cyclic_prediction": "B",
      "base_content_hit": true,
      "candidate_content_hit": false,
      "candidate_cyclic_hit": true,
      "base_cyclic_hit": true,
      "content_loss": true,
      "content_win": false,
      "cyclic_rescues_content_loss": true,
      "candidate_order_sensitive": false,
      "content_cyclic_disagree": true,
      "stable_cyclic_rescue": true,
      "candidate_content_answer_rank": 2,
      "candidate_cyclic_answer_rank": 1,
      "base_content_answer_rank": 1,
      "base_cyclic_answer_rank": 1,
      "candidate_content_answer_margin": -0.17564308643341064,
      "candidate_cyclic_answer_margin": 0.0,
      "candidate_permutation_prediction_counts": {
        "B": 4
      }
    },
    {
      "id": "NCEOGA_2013_5_28",
      "answer": "C",
      "base_content_prediction": "C",
      "candidate_content_prediction": "A",
      "candidate_cyclic_prediction": "C",
      "base_cyclic_prediction": "C",
      "base_content_hit": true,
      "candidate_content_hit": false,
      "candidate_cyclic_hit": true,
      "base_cyclic_hit": true,
      "content_loss": true,
      "content_win": false,
      "cyclic_rescues_content_loss": true,
      "candidate_order_sensitive": false,
      "content_cyclic_disagree": true,
      "stable_cyclic_rescue": true,
      "candidate_content_answer_rank": 2,
      "candidate_cyclic_answer_rank": 1,
      "base_content_answer_rank": 1,
      "base_cyclic_answer_rank": 1,
      "candidate_content_answer_margin": -0.5200639963150024,
      "candidate_cyclic_answer_margin": 0.0,
      "candidate_permutation_prediction_counts": {
        "C": 4
      }
    }
  ],
  "unrescued_loss_examples": [
    {
      "id": "MCAS_2013_5_17",
      "answer": "C",
      "base_content_prediction": "C",
      "candidate_content_prediction": "A",
      "candidate_cyclic_prediction": "D",
      "base_cyclic_prediction": "D",
      "base_content_hit": true,
      "candidate_content_hit": false,
      "candidate_cyclic_hit": false,
      "base_cyclic_hit": false,
      "content_loss": true,
      "content_win": false,
      "cyclic_rescues_content_loss": false,
      "candidate_order_sensitive": false,
      "content_cyclic_disagree": true,
      "stable_cyclic_rescue": false,
      "candidate_content_answer_rank": 2,
      "candidate_cyclic_answer_rank": 2,
      "base_content_answer_rank": 1,
      "base_cyclic_answer_rank": 2,
      "candidate_content_answer_margin": -0.3034346103668213,
      "candidate_cyclic_answer_margin": -1.5798659957945347,
      "candidate_permutation_prediction_counts": {
        "D": 4
      }
    },
    {
      "id": "Mercury_400540",
      "answer": "A",
      "base_content_prediction": "A",
      "candidate_content_prediction": "D",
      "candidate_cyclic_prediction": "D",
      "base_cyclic_prediction": "D",
      "base_content_hit": true,
      "candidate_content_hit": false,
      "candidate_cyclic_hit": false,
      "base_cyclic_hit": false,
      "content_loss": true,
      "content_win": false,
      "cyclic_rescues_content_loss": false,
      "candidate_order_sensitive": false,
      "content_cyclic_disagree": false,
      "stable_cyclic_rescue": false,
      "candidate_content_answer_rank": 2,
      "candidate_cyclic_answer_rank": 4,
      "base_content_answer_rank": 1,
      "base_cyclic_answer_rank": 2,
      "candidate_content_answer_margin": -0.03952813148498535,
      "candidate_cyclic_answer_margin": -3.130284147337079,
      "candidate_permutation_prediction_counts": {
        "D": 4
      }
    }
  ],
  "content_win_examples": [
    {
      "id": "ACTAAP_2007_7_19",
      "answer": "B",
      "base_content_prediction": "A",
      "candidate_content_prediction": "B",
      "candidate_cyclic_prediction": "B",
      "base_cyclic_prediction": "B",
      "base_content_hit": false,
      "candidate_content_hit": true,
      "candidate_cyclic_hit": true,
      "base_cyclic_hit": true,
      "content_loss": false,
      "content_win": true,
      "cyclic_rescues_content_loss": false,
      "candidate_order_sensitive": false,
      "content_cyclic_disagree": false,
      "stable_cyclic_rescue": false,
      "candidate_content_answer_rank": 1,
      "candidate_cyclic_answer_rank": 1,
      "base_content_answer_rank": 2,
      "base_cyclic_answer_rank": 1,
      "candidate_content_answer_margin": 0.0,
      "candidate_cyclic_answer_margin": 0.0,
      "candidate_permutation_prediction_counts": {
        "B": 4
      }
    },
    {
      "id": "Mercury_7024378",
      "answer": "D",
      "base_content_prediction": "C",
      "candidate_content_prediction": "D",
      "candidate_cyclic_prediction": "A",
      "base_cyclic_prediction": "A",
      "base_content_hit": false,
      "candidate_content_hit": true,
      "candidate_cyclic_hit": false,
      "base_cyclic_hit": false,
      "content_loss": false,
      "content_win": true,
      "cyclic_rescues_content_loss": false,
      "candidate_order_sensitive": true,
      "content_cyclic_disagree": true,
      "stable_cyclic_rescue": false,
      "candidate_content_answer_rank": 1,
      "candidate_cyclic_answer_rank": 3,
      "base_content_answer_rank": 2,
      "base_cyclic_answer_rank": 3,
      "candidate_content_answer_margin": 0.0,
      "candidate_cyclic_answer_margin": -0.00640338659286499,
      "candidate_permutation_prediction_counts": {
        "C": 2,
        "B": 1,
        "D": 1
      }
    },
    {
      "id": "Mercury_7135433",
      "answer": "B",
      "base_content_prediction": "C",
      "candidate_content_prediction": "B",
      "candidate_cyclic_prediction": "B",
      "base_cyclic_prediction": "B",
      "base_content_hit": false,
      "candidate_content_hit": true,
      "candidate_cyclic_hit": true,
