
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 5301.17it/s]
loaded_checkpoint=outputs/stage5/stage5_synthetic_depth_staged_staircase_20260701_180040/restored/primitive_checkpoint.pt loaded_keys=157
checkpoint_lora_key_counts=loaded_lora_keys=0 skipped_lora_keys=0
step=0 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0301 expected_ce=0.0301 target_mean_loops=2.0000 target_loop_abs_error=0.1500 loss=0.0301 pre_clip_bridge_prelude_grad_rms=0.0048 pre_clip_bridge_state_grad_rms=0.0081 bridge_prelude_grad_rms=0.0001 bridge_state_grad_rms=0.0001 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0000 bridge_prelude_weight_max_abs=0.0000 bridge_state_identity_max_abs_diff=0.0000
step=25 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0000 expected_ce=0.0000 target_mean_loops=1.0000 target_loop_abs_error=0.8500 loss=0.0000 pre_clip_bridge_prelude_grad_rms=0.0000 pre_clip_bridge_state_grad_rms=0.0000 bridge_prelude_grad_rms=0.0000 bridge_state_grad_rms=0.0000 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0001 bridge_prelude_weight_max_abs=0.0002 bridge_state_identity_max_abs_diff=0.0002
step=50 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0000 expected_ce=0.0000 target_mean_loops=1.0000 target_loop_abs_error=0.8500 loss=0.0000 pre_clip_bridge_prelude_grad_rms=0.0000 pre_clip_bridge_state_grad_rms=0.0000 bridge_prelude_grad_rms=0.0000 bridge_state_grad_rms=0.0000 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0001 bridge_prelude_weight_max_abs=0.0003 bridge_state_identity_max_abs_diff=0.0003
step=75 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=1.0695 expected_ce=1.0695 target_mean_loops=2.0000 target_loop_abs_error=0.1500 loss=1.0695 pre_clip_bridge_prelude_grad_rms=0.0591 pre_clip_bridge_state_grad_rms=0.0908 bridge_prelude_grad_rms=0.0001 bridge_state_grad_rms=0.0001 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0001 bridge_prelude_weight_max_abs=0.0004 bridge_state_identity_max_abs_diff=0.0004
step=100 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0047 expected_ce=0.0047 target_mean_loops=2.0000 target_loop_abs_error=0.1500 loss=0.0047 pre_clip_bridge_prelude_grad_rms=0.0005 pre_clip_bridge_state_grad_rms=0.0008 bridge_prelude_grad_rms=0.0001 bridge_state_grad_rms=0.0001 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0001 bridge_prelude_weight_max_abs=0.0005 bridge_state_identity_max_abs_diff=0.0006
step=125 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0000 expected_ce=0.0000 target_mean_loops=1.0000 target_loop_abs_error=0.8500 loss=0.0000 pre_clip_bridge_prelude_grad_rms=0.0000 pre_clip_bridge_state_grad_rms=0.0000 bridge_prelude_grad_rms=0.0000 bridge_state_grad_rms=0.0000 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0001 bridge_prelude_weight_max_abs=0.0005 bridge_state_identity_max_abs_diff=0.0006
step=150 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0000 expected_ce=0.0000 target_mean_loops=1.0000 target_loop_abs_error=0.8500 loss=0.0000 pre_clip_bridge_prelude_grad_rms=0.0000 pre_clip_bridge_state_grad_rms=0.0000 bridge_prelude_grad_rms=0.0000 bridge_state_grad_rms=0.0000 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0001 bridge_prelude_weight_max_abs=0.0005 bridge_state_identity_max_abs_diff=0.0006
step=175 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=2.2921 expected_ce=2.2921 target_mean_loops=1.0000 target_loop_abs_error=0.8500 loss=2.2921 pre_clip_bridge_prelude_grad_rms=0.0000 pre_clip_bridge_state_grad_rms=0.0000 bridge_prelude_grad_rms=0.0000 bridge_state_grad_rms=0.0000 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0001 bridge_prelude_weight_max_abs=0.0006 bridge_state_identity_max_abs_diff=0.0006
step=200 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0183 expected_ce=0.0183 target_mean_loops=2.0000 target_loop_abs_error=0.1500 loss=0.0183 pre_clip_bridge_prelude_grad_rms=0.0009 pre_clip_bridge_state_grad_rms=0.0015 bridge_prelude_grad_rms=0.0001 bridge_state_grad_rms=0.0001 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0001 bridge_prelude_weight_max_abs=0.0007 bridge_state_identity_max_abs_diff=0.0007
step=225 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0000 expected_ce=0.0000 target_mean_loops=1.0000 target_loop_abs_error=0.8500 loss=0.0000 pre_clip_bridge_prelude_grad_rms=0.0000 pre_clip_bridge_state_grad_rms=0.0000 bridge_prelude_grad_rms=0.0000 bridge_state_grad_rms=0.0000 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0001 bridge_prelude_weight_max_abs=0.0007 bridge_state_identity_max_abs_diff=0.0007
step=250 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0000 expected_ce=0.0000 target_mean_loops=1.0000 target_loop_abs_error=0.8500 loss=0.0000 pre_clip_bridge_prelude_grad_rms=0.0000 pre_clip_bridge_state_grad_rms=0.0000 bridge_prelude_grad_rms=0.0000 bridge_state_grad_rms=0.0000 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0001 bridge_prelude_weight_max_abs=0.0007 bridge_state_identity_max_abs_diff=0.0007
